Country,City,AccentCity,Region,Population,Latitude,Longitude
hu,alberti,Alberti,16,,47.243147,19.616858
hu,albertirsa,Albertirsa,16,11864,47.243147,19.616858
hu,albertirsai tanyak,Albertirsai Tanyák,16,,47.25,19.616667
hu,albertkazmerpuszta,Albertkázmérpuszta,09,,47.862922,17.033515
hu,albertmajor,Albertmajor,11,,47.816667,20.35
hu,albert-telep,Albert-telep,14,,48.106673,19.747145
hu,alcsimillerlapos,Alcsimillérlapos,20,,47.183333,20.2
hu,alcsipuszta,Alcsipuszta,20,,47.2,20.233333
hu,alcsisziget,Alcsisziget,20,,47.15,20.233333
hu,alcsut,Alcsút,08,,47.428373,18.604306
hu,alcsutdoboz,Alcsútdoboz,08,,47.428373,18.604306
hu,aldebro,Aldebro,11,,47.8,20.233333
hu,aldozo,Áldozó,11,,47.929621,19.98695
hu,alekszandrapuszta,Alekszandrapuszta,17,,46.080874,17.502245
hu,alexandra-puszta,Alexandra-puszta,17,,46.080874,17.502245
hu,alfaritanya,Alfaritanya,09,,47.733333,17.383333
hu,alfoldszallas,Alföldszállás,21,,46.283333,18.766667
hu,alfoldszallasok,Alföldszállások,21,,46.283333,18.766667
hu,algyo,Algyo,19,,46.25,20.166667
hu,alibanfa,Alibánfa,24,,46.885038,16.920713
hu,alice-major,Alice-major,24,,46.74698,16.90314
hu,aligvarda,Aligvárda,01,,46.183333,18.966667
hu,aligvarhegy,Aligvárhegy,24,,46.55,17.1
hu,aligvarihegy,Aligvárihegy,24,,46.55,17.1
hu,aligvarimajor,Aligvárimajor,23,,46.836633,17.537953
hu,aligvaritanya,Aligváritanya,02,,45.95,17.9
hu,aligvarmajor,Aligvármajor,23,,46.836633,17.537953
hu,aligvarmajor,Aligvármajor,24,,46.483333,16.65
hu,aligvarom,Aligvárom,17,,46.583333,17.666667
hu,aligvaromhegy,Aligváromhegy,17,,46.583333,17.666667
hu,aligvaromi szollo,Aligvaromi Szollo,17,,46.6,17.633333
hu,aligvaromtelep,Aligváromtelep,08,,46.833333,18.833333
hu,alimantanya,Alimántanya,24,,47.1,21.633333
hu,alivar,Alivár,17,,46.383828,17.215512
hu,alizmajor,Alizmajor,24,,46.74698,16.90314
hu,allami csemetekert,Állami Csemetekert,18,,47.866667,21.85
hu,allami erdo,Allami Erdo,18,,46.1,21.983333
hu,allami erdogazdasag,Allami Erdogazdasag,18,,46.1,21.983333
hu,allami erdotanya,Allami Erdotanya,18,,48.216667,22.15
hu,allami gazdakepzo,Allami Gazdakepzo,01,,47.016667,19.083333
hu,allami malom,Állami Malom,22,,47.35,16.85
hu,allami szollotelep,Allami Szollotelep,23,,46.983333,17.966667
hu,allampuszta,Állampuszta,01,,46.71759,19.069846
hu,allaskut,Álláskút,17,,46.482013,17.633335
hu,allomasszogdulo,Allomasszogdulo,20,,47.566667,20.016667
hu,allomastanya,Állomástanya,16,,47.2,19.016667
hu,allomastelep,Állomástelep,18,,48.033333,21.466667
hu,almagyardulo,Almagyardulo,11,,47.9,20.383333
hu,almahegy,Almahegy,17,,46.816667,17.866667
hu,almajor,Almajor,01,,46.273512,19.538901
hu,almajor,Almajor,08,,46.765687,18.606581
hu,almamellek,Almamellék,02,,46.156906,17.874045
hu,almar,Almár,03,,46.8,21.3
hu,almar,Almár,11,,47.95,20.366667
hu,almari csoszhaz,Almari Csoszhaz,03,,46.8,21.3
hu,almas,Almás,02,,45.816667,18.25
hu,almas,Almás,18,,47.966667,22.083333
hu,almas,Almás,21,,46.3,18.683333
hu,almasfuzito,Almasfuzito,12,2348,47.727519,18.265382
hu,almasgodor,Almásgödör,02,,46.166667,18.416667
hu,almashaza,Almásháza,24,,46.844565,17.046965
hu,almasikut-puszta,Almásikut-puszta,14,,48.039615,19.641148
hu,almasitanya,Almásitanya,10,,47.183333,21.45
hu,almasitanya,Almásitanya,20,,47.533333,20.85
hu,almaskamaras,Almáskamarás,03,,46.466667,21.1
hu,almaskeresztur,Almáskeresztúr,02,,46.119936,17.89562
hu,almaskuttanya,Almáskúttanya,14,,48.039615,19.641148
hu,almasneszmely,Almásneszmély,12,,47.735854,18.359664
hu,almaspuszta,Almáspuszta,02,,45.874722,18.052778
hu,almaspuszta,Almáspuszta,12,,47.714499,18.247591
hu,almaspuszta,Almáspuszta,14,,47.992075,19.152393
hu,almas puszta,Almás Puszta,21,,46.3,18.683333
hu,almastanya,Almástanya,14,,48.010576,19.668476
hu,almastanya,Almástanya,18,,47.966667,22.083333
hu,almasvolgytanya,Almásvölgytanya,04,,48.45,20.45
hu,almasytanya,Almásytanya,04,,47.8,20.816667
hu,almasytanya,Almásytanya,20,,47.533333,20.85
hu,almasytelep,Almásytelep,20,,47.183333,20.2
hu,almavolgypuszta,Almavölgypuszta,14,,47.766667,19.466667
hu,almosd,Álmosd,10,,47.418697,21.978033
hu,alomzug,Álomzug,10,,47.1,21.433333
hu,alomzugtanya,Álomzugtanya,10,,47.1,21.433333
hu,alpar,Alpár,01,,46.816667,20
hu,alpari tanyak,Alpári Tanyák,01,,46.816667,20
hu,alsoabrany,Alsóábrány,04,,47.883333,20.683333
hu,alsoadacs,Alsóadacs,01,,46.940562,19.326257
hu,alsoanyas,Alsóányás,06,,46.45,20.133333
hu,alsoaranyod,Alsóaranyod,24,,46.949236,17.064731
hu,alsoatokhaza,Alsóátokháza,06,,46.316667,19.916667
hu,alsoavas,Alsóavas,21,,46.710147,18.134488
hu,alsobabad,Alsóbabád,16,,47.232227,19.250318
hu,alsobadurbokor,Alsóbadurbokor,18,,47.95,21.716667
hu,alsobanyatelep,Alsóbányatelep,12,,47.483333,18.333333
hu,also-barand-major,Alsó-Baránd-major,24,,46.673995,17.111192
hu,alsobaricska,Alsóbaricska,23,,46.966667,17.866667
hu,alsobebespuszta,Alsóbebespuszta,24,,46.716667,16.95
hu,alsobendek-puszta,Alsóbéndek-puszta,17,,46.65,17.716667
hu,also bendek-puszta,Alsó Béndek-puszta,17,,46.65,17.716667
hu,alsobene,Alsóbene,01,,47.033333,19.55
hu,alsoberecki,Alsóberecki,04,,48.35,21.7
hu,alsoberecska,Alsóberecska,17,,46.516667,17.783333
hu,alsobesnyo,Alsobesnyo,08,,47.160594,18.777372
hu,alsobesnyo,Alsobesnyo,16,,47.203925,19.286713
hu,alsobikad,Alsóbikád,21,,46.596812,18.492821
hu,alsobikol,Alsóbikol,12,,47.723347,18.451874
hu,alsobocsar,Alsóbocsár,23,,46.966667,17.866667
hu,alsobogardpuszta,Alsóbogárdpuszta,08,,46.82101,18.413025
hu,alsobogat,Alsóbogát,17,,46.510827,17.747714
hu,alsobogatpuszta,Alsóbogátpuszta,17,,46.316667,17.4
hu,alsoborcshaza,Alsóbörcsháza,12,,47.533333,17.95
hu,alsoborsod,Alsóborsod,23,,47.16317,17.587937
hu,alsoborzsony,Alsóbörzsöny,21,,46.282352,18.57059
hu,alsobucka,Alsóbucka,16,,47.333333,19.033333
hu,alsocebe,Alsócebe,01,,46.626534,19.356123
hu,alsocece,Alsócéce,04,,48.35,21.2
hu,alsocikola,Alsócikola,08,,47.081284,18.845344
hu,alsocsala,Alsócsala,01,,46.416667,19.183333
hu,alsocsalanos,Alsócsalános,01,,46.9,19.7
hu,alsocsampa,Alsócsámpa,21,,46.566191,18.828764
hu,alsocsardadulo,Alsocsardadulo,03,,46.65,20.85
hu,alsocsarda dulo,Alsocsarda Dulo,03,,46.65,20.85
hu,alsocsatar,Alsócsatár,22,,47.216667,16.433333
hu,alsocserpuszta,Alsócserpuszta,17,,46.1,17.433333
hu,alsocserpuszta,Alsócserpuszta,24,,46.7,16.983333
hu,alsocsesztapuszta,Alsócsesztapuszta,17,,46.683333,17.85
hu,alsocsillag,Alsócsillag,21,,46.616667,18.566667
hu,alsocsinger,Alsócsinger,23,,47.1,17.583333
hu,alsocsingervolgy,Alsócsingervölgy,23,,47.1,17.583333
hu,alsocsolyos,Alsócsólyos,01,,46.423789,19.86824
hu,alsocsonget,Alsócsönget,24,,46.9,16.95
hu,alsocsurgo,Alsócsurgó,21,,46.449048,18.464288
hu,alsocun,Alsócún,02,,45.783333,18.083333
hu,alsodabasi dulo,Alsodabasi Dulo,01,,46.8,20
hu,alsodabasiszollok,Alsodabasiszollok,16,,47.2,19.383333
hu,alsodabasi szolok,Alsodabasi Szolok,16,,47.2,19.383333
hu,alsodabrony,Alsódabrony,24,,46.899558,17.014765
hu,alsodanos,Alsódános,16,,47.216667,19.55
hu,alsodelegyhaza,Alsódélegyháza,16,,47.25,19.1
hu,alsodobos,Alsódobos,08,,47.410136,18.173589
hu,alsodobospuszta,Alsódobospuszta,23,,46.983333,17.566667
hu,alsodobrogec,Alsódöbrögec,01,,46.663285,19.253382
hu,alsodobsza,Alsódobsza,04,,48.183333,21
hu,alsodolina,Alsódolina,21,,46.183333,18.733333
hu,alsodorgicse,Alsódörgicse,23,,46.91477,17.723927
hu,alsodulo,Alsodulo,01,,46.033333,19.066667
hu,alsodulo,Alsodulo,10,,47.3,21.366667
hu,alsodulo,Alsodulo,12,,47.7,18.016667
hu,alsoegreskata,Alsóegreskáta,16,,47.45,19.783333
hu,alsoegrespuszta,Alsóegrespuszta,14,,47.841339,19.506864
hu,alsoerdo,Alsoerdo,01,,46.2,19.533333
hu,alsoerdo,Alsoerdo,16,,47.133333,19.75
hu,alsoerdo,Alsoerdo,23,,47.25,17.466667
hu,alsoerdo,Alsoerdo,24,,46.45,16.983333
hu,alsoerdopuszta,Alsoerdopuszta,23,,47.083333,17.766667
hu,alsoerek,Alsóerek,01,,46.584666,19.087947
hu,alsoerzsebetpuszta,Alsóerzsébetpuszta,02,,45.816667,17.866667
hu,alsoerzsebet-tanya,Alsóerzsébet-tanya,02,,45.816667,17.866667
hu,also essoi-major,Also Essoi-major,16,,47.099905,19.362194
hu,alsoessopuszta,Alsoessopuszta,16,,47.099905,19.362194
hu,alsofakos,Alsófakos,24,,46.671736,16.915174
hu,alsofarkasd,Alsófarkasd,21,,46.183333,18.733333
hu,alsofarkasdmajor,Alsófarkasdmajor,16,,47.383333,19.516667
hu,alsofeketeerdo,Alsofeketeerdo,16,,47.396943,19.737912
hu,alsofeketefoldek,Alsófeketeföldek,01,,46.433333,19.483333
hu,alsofutak,Alsófutak,10,,47.316667,21.116667
hu,alsofutyemajor,Alsófütyemajor,17,,46.783333,17.933333
hu,alsofuzes,Alsófüzes,16,,47.040144,19.814291
hu,alsogagy,Alsógagy,04,,48.4,21.033333
hu,alsogaicspuszta,Alsógaicspuszta,17,,46.616667,17.45
hu,alsogajdimalom,Alsógajdimalom,08,,47.283333,18.266667
hu,alsogalambos,Alsógalambos,01,,46.694525,19.793155
hu,alsogalla,Alsógalla,12,,47.572449,18.416463
hu,alsogasparsor,Alsógáspársor,01,,46.6,19.483333
hu,alsogazdagdulo,Alsogazdagdulo,16,,47.416667,18.95
hu,alsogod,Alsógöd,16,,47.683241,19.134171
hu,alsogola,Alsógóla,17,,46.159223,17.288368
hu,alsogolapuszta,Alsógólapuszta,17,,46.159223,17.288368
hu,alsogorzsony,Alsógörzsöny,23,,47.397899,17.362831
hu,alsogyocs,Alsógyócs,17,,46.203135,17.56543
hu,alsogyorgyos,Alsógyörgyös,17,,46.01825,17.431761
hu,alsogyotapuszta,Alsógyótapuszta,17,,46.333333,17.5
hu,alsogyukes,Alsógyükés,15,,46.116667,18.283333
hu,alsohalom,Alsóhalom,16,,47.366667,19.283333
hu,alsohangos,Alsóhangos,08,,46.783333,18.733333
hu,alsohard,Alsóhard,21,,46.733333,18.75
hu,alsohatartanyak,Alsóhatártanyák,08,,47.05,18.3
hu,alsohegy,Alsóhegy,04,,48.3,20.733333
hu,alsohegy,Alsóhegy,08,,47.05,18.25
hu,alsohegy,Alsóhegy,12,,47.7,18.016667
hu,alsohegy,Alsóhegy,15,,46.083333,18.2
hu,alsohegy,Alsóhegy,16,,47.483333,19.583333
hu,alsohegy,Alsóhegy,17,,46.183333,17.683333
hu,alsohegy,Alsóhegy,21,,46.741802,18.405832
hu,alsohegy,Alsóhegy,24,,46.666667,16.683333
hu,alsohek,Alsóhék,20,,47,20.4
hu,alsohernad,Alsóhernád,16,,47.162384,19.432952
hu,alsohesteny,Alsóhestény,17,,46.433333,18.016667
hu,alsoheteny,Alsóhetény,17,,46.433333,18.016667
hu,alsohidveg,Alsóhídvég,21,,46.512184,18.652798
hu,alsohomokerdo,Alsohomokerdo,21,,46.8,18.916667
hu,also horvathmalom,Alsó Horváthmalom,02,,45.98733,18.351333
hu,alsohuta,Alsóhuta,14,,47.896574,19.817809
hu,also inoka-malom,Alsó Inoka-malom,21,,46.570932,18.208115
hu,alsoistvand,Alsóistvánd,24,,46.603684,16.834842
hu,alsoistvand-puszta,Alsóistvánd-puszta,24,,46.603684,16.834842
hu,alsoiszkaz,Alsóiszkáz,23,,47.163395,17.297164
hu,alsoivanpuszta,Alsóivánpuszta,14,,47.983333,19.966667
hu,also-ivany-puszta,Alsó-Ivány-puszta,14,,47.983333,19.966667
hu,alsojaras,Alsójárás,01,,46.183333,18.966667
hu,alsojaras,Alsójárás,16,,47.04724,19.873425
hu,alsokalkaturalis,Alsókalkaturális,01,,46.183333,18.966667
hu,alsok,Alsok,17,,46.233333,17.116667
hu,alsokanda,Alsókanda,02,,45.983333,18.683333
hu,alsokara,Alsókara,16,,47.034665,20.014859
hu,alsokatalin-banyatelep,Alsókatalin-bányatelep,14,,47.949619,19.822283
hu,alsokispuszta,Alsókispuszta,08,,47.25,18.916667
hu,alsokolked,Alsókölked,17,,46.583663,17.579785
hu,alsokommasszacio,Alsókommasszáció,01,,46.616667,19.283333
hu,alsokortvelyes,Alsókörtvélyes,08,,46.883333,18.633333
hu,alsokovacsgyop,Alsókovácsgyöp,01,,46.25548,19.480211
hu,alsokovacsmajor,Alsókovácsmajor,21,,46.45,18.9
hu,alsokovesd,Alsókövesd,02,,46.198928,17.96873
hu,alsokozpont,Alsóközpont,06,,46.218056,19.885099
hu,alsokustany,Alsókustány,24,,46.828262,17.1186
hu,alsolajospuszta,Alsólajospuszta,01,,47.016667,19.533333
hu,alsolegencse,Alsólegencse,02,,45.916667,17.866667
hu,alsolengyend,Alsólengyend,14,,47.98457,19.861623
hu,alsoleperd,Alsóleperd,21,,46.462926,18.16355
hu,alsolog,Alsólög,02,,45.983333,18.683333
hu,alsomagyalos,Alsómagyalos,11,,47.866667,20.25
hu,alsomajor,Alsómajor,01,,46.21528,19.464655
hu,alsomajor,Alsómajor,06,,46.639024,20.139711
hu,also-major,Alsó-major,08,,46.765687,18.606581
hu,alsomajor,Alsómajor,09,,47.55,17.893575
hu,alsomajor,Alsómajor,14,,47.883333,19.383333
hu,alsomajor,Alsómajor,16,,47.451764,18.822091
hu,alsomajor,Alsómajor,17,,46.416667,17.933333
hu,alsomajor,Alsómajor,22,,46.966667,16.45
hu,alsomajor,Alsómajor,23,,46.916667,17.716667
hu,alsomajor,Alsómajor,24,,46.8,17.116667
hu,alsomajsa,Alsómajsa,21,,46.594396,18.40504
hu,also mako-puszta,Alsó Makó-puszta,14,,47.803236,19.47134
hu,also-malom,Alsó-malom,02,,45.98733,18.351333
hu,alsomalom,Alsómalom,08,,47.15,18.333333
hu,alsomalom,Alsómalom,16,,47.45,19.6
hu,alsomalom,Alsómalom,17,,46.613697,17.55231
hu,alsomalom,Alsómalom,24,,46.726485,17.228053
hu,alsomalomtelep,Alsómalomtelep,14,,47.9,19.616667
hu,alsomama,Alsómáma,23,,47.083333,18.083333
hu,alsomandpuszta,Alsómándpuszta,23,,46.786151,17.126005
hu,alsomarosd,Alsómarosd,17,,46.512047,18.031514
hu,alsomegy,Alsómégy,01,,46.488822,19.122668
hu,alsomegyes,Alsómegyes,21,,46.633333,18.216667
hu,alsomenyod,Alsomenyod,08,,46.733333,18.7
hu,alsomenyodpuszta,Alsomenyodpuszta,08,,46.733333,18.7
hu,alsomera,Alsóméra,04,,48.35,21.15
hu,alsomezo,Alsomezo,02,,45.966667,18.666667
hu,alsomezo,Alsomezo,23,,47.3,17.6
hu,alsomezotanya,Alsomezotanya,02,,45.966667,18.666667
hu,alsomikebuda,Alsómikebuda,16,,47.166667,19.65
hu,alsomocsar,Alsómocsár,04,,48.4,21.666667
hu,alsomocsarasdulo,Alsomocsarasdulo,21,,46.416667,18.45
hu,alsomocsolad,Alsómocsolád,02,,46.314165,18.247939
hu,alsomonostor,Alsómonostor,01,,46.646948,19.75592
hu,alsomoricgat,Alsómóricgát,01,,46.610378,19.679356
hu,alsomozsar,Alsómozsár,23,,46.933333,17.833333
hu,alsomuszaj,Alsómuszáj,20,,47.453342,19.897038
hu,alsomuzsai tanyak,Alsómuzsai Tanyák,20,,47.453342,19.897038
hu,alsonadasd,Alsónádasd,14,,47.933333,19.65
hu,also nadasd-puszta,Alsó Nádasd-puszta,14,,47.933333,19.65
hu,alsonana,Alsónána,21,,46.251651,18.657396
hu,alsonanai laiver,Alsónánai Laivér,21,,46.25,18.666667
hu,alsonanai mauszcsarda,Alsónánai Mauszcsárda,21,,46.25,18.666667
hu,alsonemedi,Alsónémedi,16,4974,47.315243,19.158426
hu,alsonemedi szollok,Alsonemedi Szollok,16,,47.337382,19.221388
hu,alsonemesapati,Alsónemesapáti,24,,46.853412,16.93532
hu,alsonovaj,Alsonóvaj,04,,48.4,21.183333
hu,alsonyarsapat,Alsónyársapát,16,,47.1,19.816667
hu,alsonyek,Alsónyék,21,,46.201904,18.734475
hu,alsonyeki tanyak,Alsónyéki Tanyák,04,,47.966667,20.833333
hu,also nyerges-puszta,Alsó Nyerges-puszta,14,,48.166096,19.55477
hu,alsonyiget,Alsónyiget,11,,47.783333,20.116667
hu,alsonyires,Alsónyires,17,,46.4,17.65
hu,alsonyirvarimajor,Alsónyírvárimajor,22,,47.1,16.566667
hu,alsonyirvarmajor,Alsónyirvármajor,22,,47.1,16.566667
hu,alsonyomas,Alsónyomás,03,,46.683333,21.083333
